year,phase,date,home_team,home_city,home_altitude_meters,away_team,away_city,away_altitude_meters,altitude_difference,home_goals,away_goals,score_raw,stadium
2018,Fase de Grupos,14 de marzo,Bolívar,La Paz,3640,Colo-Colo,Santiago,553,3087,1,1,1:1 Archivado el 14 de abril de 2021 en Wayback Machine.,La Paz
2018,Fase de Grupos,14 de marzo,Atlético Nacional,Medellín,1495,Delfín,Manta,12,1483,4,0,4:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Medellín
2018,Fase de Grupos,5 de abril,Colo-Colo,Santiago,553,Delfín,Manta,12,541,0,2,0:2 Archivado el 14 de abril de 2021 en Wayback Machine.,Santiago
2018,Fase de Grupos,5 de abril,Bolívar,La Paz,3640,Atlético Nacional,Medellín,1495,2145,1,0,1:0 Archivado el 14 de abril de 2021 en Wayback Machine.,La Paz
2018,Fase de Grupos,24 de abril,Atlético Nacional,Medellín,1495,Bolívar,La Paz,3640,-2145,4,1,4:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Medellín
2018,Fase de Grupos,2 de mayo,Delfín,Manta,12,Colo-Colo,Santiago,553,-541,1,2,1:2 Archivado el 14 de abril de 2021 en Wayback Machine.,Manta
2018,Fase de Grupos,15 de mayo,Delfín,Manta,12,Atlético Nacional,Medellín,1495,-1483,1,0,1:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Manta
2018,Fase de Grupos,15 de mayo,Colo-Colo,Santiago,553,Bolívar,La Paz,3640,-3087,2,0,2:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Santiago
2018,Fase de Grupos,24 de mayo,Atlético Nacional,Medellín,1495,Colo-Colo,Santiago,553,942,0,0,0:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Medellín
2018,Fase de Grupos,24 de mayo,Bolívar,La Paz,3640,Delfín,Manta,12,3628,2,1,2:1 Archivado el 14 de abril de 2021 en Wayback Machine.,La Paz
2018,Fase de Grupos,13 de marzo,Atlético Tucumán,Tucumán,431,Libertad,Asunción,77,354,0,2,0:2 Archivado el 24 de febrero de 2021 en Wayback Machine.,Tucumán
2018,Fase de Grupos,15 de marzo,The Strongest,La Paz,3640,Peñarol,Montevideo,43,3597,1,0,1:0 Archivado el 14 de abril de 2021 en Wayback Machine.,La Paz
2018,Fase de Grupos,3 de abril,Libertad,Asunción,77,The Strongest,La Paz,3640,-3563,3,0,3:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Asunción
2018,Fase de Grupos,4 de abril,Peñarol,Montevideo,43,Atlético Tucumán,Tucumán,431,-388,3,1,3:1 Archivado el 24 de febrero de 2021 en Wayback Machine.,Montevideo
2018,Fase de Grupos,18 de abril,The Strongest,La Paz,3640,Atlético Tucumán,Tucumán,431,3209,1,2,1:2 Archivado el 25 de febrero de 2021 en Wayback Machine.,La Paz
2018,Fase de Grupos,18 de abril,Libertad,Asunción,77,Peñarol,Montevideo,43,34,2,1,2:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Asunción
2018,Fase de Grupos,25 de abril,Atlético Tucumán,Tucumán,431,The Strongest,La Paz,3640,-3209,3,0,3:0 Archivado el 27 de febrero de 2021 en Wayback Machine.,Tucumán
2018,Fase de Grupos,26 de abril,Peñarol,Montevideo,43,Libertad,Asunción,77,-34,2,0,2:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Montevideo
2018,Fase de Grupos,2 de mayo,Atlético Tucumán,Tucumán,431,Peñarol,Montevideo,43,388,1,0,1:0 Archivado el 25 de febrero de 2021 en Wayback Machine.,Tucumán
2018,Fase de Grupos,3 de mayo,The Strongest,La Paz,3640,Libertad,Asunción,77,3563,1,3,1:3 Archivado el 14 de abril de 2021 en Wayback Machine.,La Paz
2018,Fase de Grupos,17 de mayo,Libertad,Asunción,77,Atlético Tucumán,Tucumán,431,-354,0,0,0:0 Archivado el 24 de febrero de 2021 en Wayback Machine.,Asunción
2018,Fase de Grupos,17 de mayo,Peñarol,Montevideo,43,The Strongest,La Paz,3640,-3597,2,0,2:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Montevideo
2018,Fase de Grupos,13 de marzo,Atlético Tucumán,Tucumán,431,Libertad,Asunción,77,354,0,2,0:2 Archivado el 24 de febrero de 2021 en Wayback Machine.,Tucumán
2018,Fase de Grupos,15 de marzo,The Strongest,La Paz,3640,Peñarol,Montevideo,43,3597,1,0,1:0 Archivado el 14 de abril de 2021 en Wayback Machine.,La Paz
2018,Fase de Grupos,3 de abril,Libertad,Asunción,77,The Strongest,La Paz,3640,-3563,3,0,3:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Asunción
2018,Fase de Grupos,4 de abril,Peñarol,Montevideo,43,Atlético Tucumán,Tucumán,431,-388,3,1,3:1 Archivado el 24 de febrero de 2021 en Wayback Machine.,Montevideo
2018,Fase de Grupos,18 de abril,The Strongest,La Paz,3640,Atlético Tucumán,Tucumán,431,3209,1,2,1:2 Archivado el 25 de febrero de 2021 en Wayback Machine.,La Paz
2018,Fase de Grupos,18 de abril,Libertad,Asunción,77,Peñarol,Montevideo,43,34,2,1,2:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Asunción
2018,Fase de Grupos,25 de abril,Atlético Tucumán,Tucumán,431,The Strongest,La Paz,3640,-3209,3,0,3:0 Archivado el 27 de febrero de 2021 en Wayback Machine.,Tucumán
2018,Fase de Grupos,26 de abril,Peñarol,Montevideo,43,Libertad,Asunción,77,-34,2,0,2:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Montevideo
2018,Fase de Grupos,2 de mayo,Atlético Tucumán,Tucumán,431,Peñarol,Montevideo,43,388,1,0,1:0 Archivado el 25 de febrero de 2021 en Wayback Machine.,Tucumán
2018,Fase de Grupos,3 de mayo,The Strongest,La Paz,3640,Libertad,Asunción,77,3563,1,3,1:3 Archivado el 14 de abril de 2021 en Wayback Machine.,La Paz
2018,Fase de Grupos,17 de mayo,Libertad,Asunción,77,Atlético Tucumán,Tucumán,431,-354,0,0,0:0 Archivado el 24 de febrero de 2021 en Wayback Machine.,Asunción
2018,Fase de Grupos,17 de mayo,Peñarol,Montevideo,43,The Strongest,La Paz,3640,-3597,2,0,2:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Montevideo
2018,Fase de Grupos,28 de febrero,Flamengo,Río de Janeiro,10,River Plate,Buenos Aires,25,-15,2,2,2:2 Archivado el 30 de agosto de 2021 en Wayback Machine.,Río de Janeiro
2018,Fase de Grupos,1 de marzo,Santa Fe,Bogotá,2640,Emelec,Guayaquil,9,2631,1,1,1:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Bogotá
2018,Fase de Grupos,14 de marzo,Emelec,Guayaquil,9,Flamengo,Río de Janeiro,10,-1,1,2,1:2 Archivado el 14 de abril de 2021 en Wayback Machine.,Guayaquil
2018,Fase de Grupos,5 de abril,River Plate,Buenos Aires,25,Santa Fe,Bogotá,2640,-2615,0,0,0:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Buenos Aires
2018,Fase de Grupos,18 de abril,Flamengo,Río de Janeiro,10,Santa Fe,Bogotá,2640,-2630,1,1,1:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Río de Janeiro
2018,Fase de Grupos,19 de abril,Emelec,Guayaquil,9,River Plate,Buenos Aires,25,-16,0,1,0:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Guayaquil
2018,Fase de Grupos,25 de abril,Santa Fe,Bogotá,2640,Flamengo,Río de Janeiro,10,2630,0,0,0:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Bogotá
